Level,Title,Page Number,Parent Title,Keywords,Filtered_Keywords
2,1.3 Computer-System Architecture,43,1.2 Computer-System Organization,"[('cutesinstructionsandregistersforstoringdatalocally', 0.4105), ('executioninstructions', 0.3879), ('cpu', 0.3658), ('cpuwith', 0.3526), ('processor', 0.334)]",[]
3,1.3.1 Single-Processor Systems,43,1.3 Computer-System Architecture,"[('cutesinstructionsandregistersforstoringdatalocally', 0.4105), ('executioninstructions', 0.3879), ('cpu', 0.3658), ('cpuwith', 0.3526), ('processor', 0.334)]",[]
3,1.3.2 Multiprocessor Systems,44,1.3.1 Single-Processor Systems,"[('cpuwithasingleprocessingcore', 0.6334), ('pcscontainamicroprocessorinthekeyboard', 0.5715), ('memoryoverthesystembus', 0.5605), ('computersystemsaresingle', 0.5325), ('inwhichmultiplecomputingcoresresideonasinglechip', 0.5287)]","['cpuwithasingleprocessingcore', 'pcscontainamicroprocessorinthekeyboard', 'memoryoverthesystembus', 'computersystemsaresingle', 'inwhichmultiplecomputingcoresresideonasinglechip']"
3,1.3.3 Clustered Systems,47,1.3.2 Multiprocessor Systems,"[('cpu2cpu3cpu1memory1', 0.6337), ('memory2memory3interconnect', 0.5919), ('cpu0memory0', 0.5629), ('multiprocessorsystems', 0.5581), ('multiprocessor', 0.5132)]","['cpu2cpu3cpu1memory1', 'memory2memory3interconnect', 'cpu0memory0', 'multiprocessorsystems', 'multiprocessor']"
2,1.4 Operating-System Operations,49,1.3 Computer-System Architecture,"[('nowthatwehavediscussedbasicinformationaboutcomputer', 0.5761), ('computerinterconnectcomputerinterconnectcomputer', 0.4953), ('clustertechnology', 0.4847), ('eachmachinehasfullaccesstoalldatainthedatabase', 0.4779), ('dozensofhostscansharethesamedatabase', 0.4747)]","['nowthatwehavediscussedbasicinformationaboutcomputer', 'computerinterconnectcomputerinterconnectcomputer', 'clustertechnology', 'eachmachinehasfullaccesstoalldatainthedatabase', 'dozensofhostscansharethesamedatabase']"
3,1.4.1 Multiprogramming and Multitasking,51,1.4 Operating-System Operations,"[('multitasking', 0.3935), ('multiprogrammedsystem', 0.3753), ('cpuswitches', 0.3739), ('isalogicalextensionofmultiprogramming', 0.3726), ('busy', 0.3702)]",[]
3,1.4.2 Dual-Mode and Multimode Operation,52,1.4.1 Multiprogramming and Multitasking,"[('resourcesofthecomputersystem', 0.3556), ('typing', 0.3324), ('rentlyrequiresthattheirabilitytoaffectoneanotherbelimitedinallphasesof', 0.2933), ('ifseveralprocessesarereadytorunatthesametime', 0.2921), ('programmersfromconcern', 0.281)]",[]
3,1.4.3 Timer,54,1.4.2 Dual-Mode and Multimode Operation,"[('sothattheuserorprogrammercanexamineitandperhapscorrectitandrestart', 0.6271), ('methodusedbyaprocesstorequestactionbytheoperatingsystem', 0.6218), ('callusuallytakestheformofatraptoaspecificlocationintheinterruptvector', 0.5813), ('andreturnscontroltotheinstructionfollowingthesystemcall', 0.571), ('thehardwaretrapstotheoperatingsystem', 0.5669)]","['sothattheuserorprogrammercanexamineitandperhapscorrectitandrestart', 'methodusedbyaprocesstorequestactionbytheoperatingsystem', 'callusuallytakestheformofatraptoaspecificlocationintheinterruptvector', 'andreturnscontroltotheinstructionfollowingthesystemcall', 'thehardwaretrapstotheoperatingsystem']"
2,1.5 Resource Management,55,1.4 Operating-System Operations,"[('hzvalueof250meansthatthetimergenerates', 0.5299), ('urlasaninputandwillexecutetheappropriate', 0.4297), ('linux', 0.4129), ('cputime', 0.3956), ('aprogramsuchasacompiler', 0.3947)]",['hzvalueof250meansthatthetimergenerates']
3,1.5.1 Process Management,55,1.5 Resource Management,"[('hzvalueof250meansthatthetimergenerates', 0.5299), ('urlasaninputandwillexecutetheappropriate', 0.4297), ('linux', 0.4129), ('cputime', 0.3956), ('aprogramsuchasacompiler', 0.3947)]",['hzvalueof250meansthatthetimergenerates']
3,1.5.2 Memory Management,56,1.5.1 Process Management,"[('twoprocessesmaybeassociatedwiththesameprogram', 0.6798), ('schedulingprocessesand', 0.6243), ('purposecomputersmustkeepseveralprograms', 0.6103), ('itaccessesprograminstructions', 0.6006), ('userandsystemprocesses', 0.5895)]","['twoprocessesmaybeassociatedwiththesameprogram', 'schedulingprocessesand', 'purposecomputersmustkeepseveralprograms', 'itaccessesprograminstructions', 'userandsystemprocesses']"
3,1.5.3 File-System Management,57,1.5.2 Memory Management,"[('managementtechniquesarediscussedinchapter9and', 0.6558), ('logicalviewofinformationstorage', 0.5568), ('theoperatingsystemmapsfilesontophysicalmediaand', 0.5494), ('filesrepresentprograms', 0.5489), ('operatingsystem', 0.5399)]","['managementtechniquesarediscussedinchapter9and', 'logicalviewofinformationstorage', 'theoperatingsystemmapsfilesontophysicalmediaand', 'filesrepresentprograms', 'operatingsystem']"
3,1.5.4 Mass-Storage Management,58,1.5.3 File-System Management,"[('mostmoderncomputersystemsuse', 0.5983), ('thecomputersystemmustprovidesecondarystorage', 0.5848), ('thatoperatingsystemscanprovideincludemountingandunmountingmedia', 0.5279), ('magnetictapedrivesandtheirtapesand', 0.4745), ('weusetheinformationdirectlyfromthecache', 0.4441)]","['mostmoderncomputersystemsuse', 'thecomputersystemmustprovidesecondarystorage', 'thatoperatingsystemscanprovideincludemountingandunmountingmedia', 'magnetictapedrivesandtheirtapesand']"
3,1.5.5 Cache Management,58,1.5.4 Mass-Storage Management,"[('mostmoderncomputersystemsuse', 0.5983), ('thecomputersystemmustprovidesecondarystorage', 0.5848), ('thatoperatingsystemscanprovideincludemountingandunmountingmedia', 0.5279), ('magnetictapedrivesandtheirtapesand', 0.4745), ('weusetheinformationdirectlyfromthecache', 0.4441)]","['mostmoderncomputersystemsuse', 'thecomputersystemmustprovidesecondarystorage', 'thatoperatingsystemscanprovideincludemountingandunmountingmedia', 'magnetictapedrivesandtheirtapesand']"
3,1.5.6 I/O System Management,60,1.5.5 Cache Management,"[('specifichardwaredevicesfromtheuser', 0.4907), ('memoryhardware', 0.4713), ('driversforspecifichardware', 0.4625), ('thesituationbecomesmorecomplicatedinamultiprocessorenvironment', 0.4599), ('managementcomponentthatincludesbuffering', 0.4438)]","['specifichardwaredevicesfromtheuser', 'memoryhardware', 'driversforspecifichardware', 'thesituationbecomesmorecomplicatedinamultiprocessorenvironment']"
2,1.6 Security and Protection,61,1.5 Resource Management,"[('oruserstotheresourcesdefinedbyacomputersystem', 0.5388), ('cpuwithout', 0.4589), ('unixsystemmaybe', 0.4498), ('systemprovidesameanstodistinguishb', 0.449), ('protectionandsecurityrequirethesystemtobeabletodistinguishamong', 0.4341)]","['oruserstotheresourcesdefinedbyacomputersystem', 'cpuwithout']"
2,1.7 Virtualization,62,1.6 Security and Protection,"[('virtualizationallowsoperatingsystemstorunasapplicationswithinother', 0.5597), ('virtualizationsoftwareisonememberofaclassthatalso', 0.5114), ('causesthatprogramtorunwiththeuser', 0.4969), ('anentireoperatingsystemwrittenforoneplatformtorunonanother', 0.4871), ('guestcopies', 0.4752)]","['virtualizationallowsoperatingsystemstorunasapplicationswithinother', 'virtualizationsoftwareisonememberofaclassthatalso', 'causesthatprogramtorunwiththeuser', 'anentireoperatingsystemwrittenforoneplatformtorunonanother', 'guestcopies']"
2,1.8 Distributed Systems,63,1.7 Virtualization,"[('likevmwareesxandcitrixxenservernolongerrunonhostoperatingsystems', 0.6557), ('commonmethodofexecutingandmanagingcomputingenvironments', 0.6166), ('vmwareapplicationwasthe', 0.579), ('someoperatingsystemsgeneralizenetworkaccessasaformoffileaccess', 0.5681), ('theuseofvirtualizationcontinuestogrow', 0.5535)]","['likevmwareesxandcitrixxenservernolongerrunonhostoperatingsystems', 'commonmethodofexecutingandmanagingcomputingenvironments', 'vmwareapplicationwasthe', 'someoperatingsystemsgeneralizenetworkaccessasaformoffileaccess', 'theuseofvirtualizationcontinuestogrow']"
2,1.9 Kernel Data Structures,64,1.8 Distributed Systems,"[('distributedsystemsdependonnetworkingfortheirfunctional', 0.6234), ('betweenaphoneandaheadsetorasmartphoneandadesktopcomputer', 0.6143), ('networksvarybytheprotocolsused', 0.6065), ('vercomputernetworksanddistributed', 0.6063), ('anetworkprotocolhaveaninterfacedevice', 0.5965)]","['distributedsystemsdependonnetworkingfortheirfunctional', 'betweenaphoneandaheadsetorasmartphoneandadesktopcomputer', 'networksvarybytheprotocolsused', 'vercomputernetworksanddistributed', 'anetworkprotocolhaveaninterfacedevice']"
3,"1.9.1 Lists, Stacks, and Queues",65,1.9 Kernel Data Structures,"[('whorequirefurtherdetailsonthesestructures', 0.578), ('listsareperhapsthemostfundamentaldatastructuresincom', 0.5717), ('thenmultiplebytescanbeallocatedtothe', 0.5596), ('timesuseddirectlybykernelalgorithms', 0.5477), ('relativepositionsoftheremainingitemsmustbepreserved', 0.5446)]","['whorequirefurtherdetailsonthesestructures', 'listsareperhapsthemostfundamentaldatastructuresincom', 'thenmultiplebytescanbeallocatedtothe', 'timesuseddirectlybykernelalgorithms', 'relativepositionsoftheremainingitemsmustbepreserved']"
3,1.9.2 Trees,66,"1.9.1 Lists, Stacks, and Queues","[('operatingsystemoftenusesastackwheninvokingfunctioncalls', 0.5599), ('sequentiallyordereddata', 0.5412), ('dependingonimplementationdetails', 0.5332), ('pushandpop', 0.5283), ('atreeisadatastructurethatcanbeusedtorepresentdatahierarchically', 0.5248)]","['operatingsystemoftenusesastackwheninvokingfunctioncalls', 'sequentiallyordereddata', 'dependingonimplementationdetails', 'pushandpop', 'atreeisadatastructurethatcanbeusedtorepresentdatahierarchically']"
3,1.9.3 Hash Functions and Maps,66,1.9.2 Trees,"[('operatingsystemoftenusesastackwheninvokingfunctioncalls', 0.5599), ('sequentiallyordereddata', 0.5412), ('dependingonimplementationdetails', 0.5332), ('pushandpop', 0.5283), ('atreeisadatastructurethatcanbeusedtorepresentdatahierarchically', 0.5248)]","['operatingsystemoftenusesastackwheninvokingfunctioncalls', 'sequentiallyordereddata', 'dependingonimplementationdetails', 'pushandpop', 'atreeisadatastructurethatcanbeusedtorepresentdatahierarchically']"
3,1.9.4 Bitmaps,67,1.9.3 Hash Functions and Maps,"[('nbinarydigitsthatcanbeusedtorepresentthestatusof', 0.5498), ('tablelocationthatcontainsalloftheitemswiththesamehashvalue', 0.5207), ('byhavingalinkedlistatthe', 0.4465), ('passwordenteredby', 0.4416), ('maphash_function', 0.385)]","['nbinarydigitsthatcanbeusedtorepresentthestatusof', 'tablelocationthatcontainsalloftheitemswiththesamehashvalue']"
2,1.10 Computing Environments,68,1.9 Kernel Data Structures,"[('linuxalsoprovidesabalancedbinarysearchtree', 0.6778), ('diskdrivemightbedividedintoseveralthousandindividualunits', 0.5887), ('thedatastructuresusedinthelinuxkernelareavailableinthekernelsource', 0.5457), ('detailscanbefoundintheincludefile', 0.5285), ('webtechnologiesandincreasing', 0.5213)]","['linuxalsoprovidesabalancedbinarysearchtree', 'diskdrivemightbedividedintoseveralthousandindividualunits', 'thedatastructuresusedinthelinuxkernelareavailableinthekernelsource', 'detailscanbefoundintheincludefile', 'webtechnologiesandincreasing']"
3,1.10.1 Traditional Computing,68,1.10 Computing Environments,"[('linuxalsoprovidesabalancedbinarysearchtree', 0.6778), ('diskdrivemightbedividedintoseveralthousandindividualunits', 0.5887), ('thedatastructuresusedinthelinuxkernelareavailableinthekernelsource', 0.5457), ('detailscanbefoundintheincludefile', 0.5285), ('webtechnologiesandincreasing', 0.5213)]","['linuxalsoprovidesabalancedbinarysearchtree', 'diskdrivemightbedividedintoseveralthousandindividualunits', 'thedatastructuresusedinthelinuxkernelareavailableinthekernelsource', 'detailscanbefoundintheincludefile', 'webtechnologiesandincreasing']"
3,1.10.2 Mobile Computing,69,1.10.1 Traditional Computing,"[('mobilesystemsgaveupscreensize', 0.402), ('laptopcomputer', 0.3449), ('asinglecomputerwithaslowmodemcon', 0.3142), ('smartphones', 0.3035), ('andcellulardatanetworkstousethecompany', 0.279)]",[]
3,1.10.3 Client–Server Computing,70,1.10.2 Mobile Computing,"[('mobiledevicesoftenuseprocessorsthat', 0.5522), ('keyboardbutratherbytilting', 0.48), ('andprocessingspeedofmobiledevices', 0.4457), ('mobiledevice', 0.4401), ('weexaminethesetwomobileoperatingsystemsin', 0.432)]","['mobiledevicesoftenuseprocessorsthat', 'keyboardbutratherbytilting']"
3,1.10.4 Peer-to-Peer Computing,71,1.10.3 Client–Server Computing,"[('videdthatallowspeerstodiscoverservicesprovidedbyotherpeersinthe', 0.5934), ('contactsthiscentralizedlookupservicetodeterminewhichnodeprovides', 0.5736), ('peernetworksgainedwidespreadpopularityinthelate1990swith', 0.5582), ('browsers', 0.5335), ('lartothefirsttypedescribedabove', 0.4934)]","['videdthatallowspeerstodiscoverservicesprovidedbyotherpeersinthe', 'contactsthiscentralizedlookupservicetodeterminewhichnodeprovides', 'peernetworksgainedwidespreadpopularityinthelate1990swith', 'browsers', 'lartothefirsttypedescribedabove']"
3,1.10.5 Cloud Computing,72,1.10.4 Peer-to-Peer Computing,"[('skype', 0.4395), ('internet', 0.3913), ('itincludesacentralizedloginserver', 0.3893), ('theamazonelasticcomputecloud', 0.3575), ('availableviatheinternettoanyone', 0.3241)]",[]
3,1.10.6 Real-Time Embedded Systems,73,1.10.5 Cloud Computing,"[('robotstoopticaldrivesandmicrowaveovens', 0.5472), ('resourceswithinagivencloudandprovideinterfacestothecloudcomponents', 0.5432), ('therearetraditionaloperatingsystemswithinmanyofthetypes', 0.5102), ('systemsprovidelimitedfeatures', 0.4996), ('serversstorageinternet', 0.4932)]","['robotstoopticaldrivesandmicrowaveovens', 'resourceswithinagivencloudandprovideinterfacestothecloudcomponents', 'therearetraditionaloperatingsystemswithinmanyofthetypes', 'systemsprovidelimitedfeatures', 'serversstorageinternet']"
2,1.11 Free and Open-Source Operating Systems,74,1.10 Computing Environments,"[('entirehousescanbecomputerized', 0.5779), ('therefrigeratorwillbeabletonotifythegrocerystore', 0.5574), ('purposecomputeroranembeddedsystem', 0.5084), ('weaponsystemsarealsoreal', 0.499), ('lingfacilityneededtoimplementreal', 0.4819)]","['entirehousescanbecomputerized', 'therefrigeratorwillbeabletonotifythegrocerystore', 'purposecomputeroranembeddedsystem', 'weaponsystemsarealsoreal', 'lingfacilityneededtoimplementreal']"
3,1.11.1 History,75,1.11 Free and Open-Source Operating Systems,"[('techmodelrailroadclublefttheirprogramsindrawersforotherstoworkon', 0.4203), ('softwaremovementdoesnotobject', 0.3883), ('theirsoftwaretoauthorizedcomputersandpayingcustomers', 0.3507), ('programmerswhocontributeto', 0.334), ('tocounterthemovetolimitsoftwareuseandredistribution', 0.313)]",[]
3,1.11.2 Free Operating Systems,75,1.11.1 History,"[('techmodelrailroadclublefttheirprogramsindrawersforotherstoworkon', 0.4203), ('softwaremovementdoesnotobject', 0.3883), ('theirsoftwaretoauthorizedcomputersandpayingcustomers', 0.3507), ('programmerswhocontributeto', 0.334), ('tocounterthemovetolimitsoftwareuseandredistribution', 0.313)]",[]
3,1.11.3 GNU/Linux,76,1.11.2 Free Operating Systems,"[('freesoftware', 0.535), ('gnumanifesto', 0.4055), ('freeapproach', 0.3625), ('gnukernelnever', 0.3583), ('gnuoperating', 0.3524)]",['freesoftware']
3,1.11.4 BSD UNIX,77,1.11.3 GNU/Linux,"[('linuxrunning', 0.557), ('toolsforsoftwaredevelopment', 0.5509), ('linuxsourcecodeaswellas', 0.504), ('detailedcasestudyinchapter20', 0.4957), ('youcansimplyviewthesourcecodeonline', 0.4871)]","['linuxrunning', 'toolsforsoftwaredevelopment', 'linuxsourcecodeaswellas', 'detailedcasestudyinchapter20', 'youcansimplyviewthesourcecodeonline']"
3,1.11.5 Solaris,79,1.11.4 BSD UNIX,"[('anoperatingsystemissoftwarethatmanagesthecomputerhardware', 0.4618), ('ahardwaredevicetriggersaninterruptbysendingasignaltothe', 0.4218), ('severalgroupsinterestedinusingopensolarishaveexpandeditsfeatures', 0.4157), ('dentstounderstandthoseprojectsandt', 0.4069), ('unix', 0.3959)]",['anoperatingsystemissoftwarethatmanagesthecomputerhardware']
3,1.11.6 Open-Source Systems as Learning Tools,79,1.11.5 Solaris,"[('anoperatingsystemissoftwarethatmanagesthecomputerhardware', 0.4618), ('ahardwaredevicetriggersaninterruptbysendingasignaltothe', 0.4218), ('severalgroupsinterestedinusingopensolarishaveexpandeditsfeatures', 0.4157), ('dentstounderstandthoseprojectsandt', 0.4069), ('unix', 0.3959)]",['anoperatingsystemissoftwarethatmanagesthecomputerhardware']
2,1.12 Summary,79,1.11 Free and Open-Source Operating Systems,"[('anoperatingsystemissoftwarethatmanagesthecomputerhardware', 0.4618), ('ahardwaredevicetriggersaninterruptbysendingasignaltothe', 0.4218), ('severalgroupsinterestedinusingopensolarishaveexpandeditsfeatures', 0.4157), ('dentstounderstandthoseprojectsandt', 0.4069), ('unix', 0.3959)]",['anoperatingsystemissoftwarethatmanagesthecomputerhardware']
2,Practice Exercises,81,1.12 Summary,"[('freebsd', 0.4786), ('3whatisthemaindifficultythataprogrammermustovercomeinwriting', 0.4646), ('5howdoesthedistinctionbetweenkernelmodeandusermodefunction', 0.4446), ('linux', 0.4184), ('gnu', 0.3955)]","['freebsd', '3whatisthemaindifficultythataprogrammermustovercomeinwriting']"
2,Further Reading,82,Practice Exercises,"[('giveanoverviewofmicrosoftwindowsandcov', 0.4166), ('textbooks', 0.3559), ('osystemsandbusesandofsystemarchitectureingeneral', 0.3435), ('microsoftpress', 0.3196), ('computernetworks', 0.3191)]",[]
2,Bibliography,82,Further Reading,"[('giveanoverviewofmicrosoftwindowsandcov', 0.4166), ('textbooks', 0.3559), ('osystemsandbusesandofsystemarchitectureingeneral', 0.3435), ('microsoftpress', 0.3196), ('computernetworks', 0.3191)]",[]
2,Chapter 1 Exercises,83,Bibliography,"[('requiredfortwomachinesbelongingtoaclustertocooperatetoprovide', 0.4825), ('17somecomputersystemsdonotprovideaprivilegedmodeofoperation', 0.4767), ('multiprocessorsystems', 0.4383), ('cpuinterface', 0.4234), ('systemsdesignedthisway', 0.4058)]","['requiredfortwomachinesbelongingtoaclustertocooperatetoprovide', '17somecomputersystemsdonotprovideaprivilegedmodeofoperation']"
1,Chapter 2 Operating-System Structures,85,Chapter 1 Introduction,"[('operatingsystemsvarygreatlyintheirmakeup', 0.7263), ('areorganizedalongmanydifferentlines', 0.6729), ('operatingsystem', 0.6065), ('weconsiderwhatservicesanoperatingsystemprovides', 0.5987), ('thedesignofanewoperatingsystem', 0.5914)]","['operatingsystemsvarygreatlyintheirmakeup', 'areorganizedalongmanydifferentlines', 'operatingsystem', 'weconsiderwhatservicesanoperatingsystemprovides', 'thedesignofanewoperatingsystem']"
2,2.1 Operating-System Services,85,Chapter 2 Operating-System Structures,"[('operatingsystemsvarygreatlyintheirmakeup', 0.7263), ('areorganizedalongmanydifferentlines', 0.6729), ('operatingsystem', 0.6065), ('weconsiderwhatservicesanoperatingsystemprovides', 0.5987), ('thedesignofanewoperatingsystem', 0.5914)]","['operatingsystemsvarygreatlyintheirmakeup', 'areorganizedalongmanydifferentlines', 'operatingsystem', 'weconsiderwhatservicesanoperatingsystemprovides', 'thedesignofanewoperatingsystem']"
2,2.2 User and Operating-System Interface,88,2.1 Operating-System Services,"[('password', 0.5682), ('unixsystemsoperateinthisway', 0.4821), ('commandinterpretertojumptoasectionofitscodethatsetsuptheparameters', 0.439), ('themainfunctionofthecommandinterpreteristogetandexecutethenext', 0.4369), ('unixandlinuxsystems', 0.4168)]","['password', 'unixsystemsoperateinthisway']"
3,2.2.1 Command Interpreters,88,2.2 User and Operating-System Interface,"[('password', 0.5682), ('unixsystemsoperateinthisway', 0.4821), ('commandinterpretertojumptoasectionofitscodethatsetsuptheparameters', 0.439), ('themainfunctionofthecommandinterpreteristogetandexecutethenext', 0.4369), ('unixandlinuxsystems', 0.4168)]","['password', 'unixsystemsoperateinthisway']"
3,2.2.2 Graphical User Interface,89,2.2.1 Command Interpreters,"[('macos', 0.4672), ('morewidespreadwiththeadventofapplemacintoshcomputersinthe1980s', 0.4619), ('friendlygraphicaluserinterface', 0.3856), ('macintosh', 0.3737), ('guialongwithseveralenhancementsinitsfunctionality', 0.3688)]","['macos', 'morewidespreadwiththeadventofapplemacintoshcomputersinthe1980s']"
3,2.2.3 Touch-Screen Interface,90,2.2.2 Graphical User Interface,"[('unixsystemshavebeendominatedby', 0.6057), ('gnuproject', 0.5279), ('unixsystems', 0.5256), ('gnomedesktop', 0.499), ('althoughearliersmartphonesincludedaphysicalkeyboard', 0.4639)]","['unixsystemshavebeendominatedby', 'gnuproject', 'unixsystems', 'gnomedesktop', 'althoughearliersmartphonesincludedaphysicalkeyboard']"
3,2.2.4 Choice of Interface,90,2.2.3 Touch-Screen Interface,"[('unixsystemshavebeendominatedby', 0.6057), ('gnuproject', 0.5279), ('unixsystems', 0.5256), ('gnomedesktop', 0.499), ('althoughearliersmartphonesincludedaphysicalkeyboard', 0.4639)]","['unixsystemshavebeendominatedby', 'gnuproject', 'unixsystems', 'gnomedesktop', 'althoughearliersmartphonesincludedaphysicalkeyboard']"
2,2.3 System Calls,92,2.2 User and Operating-System Interface,"[('provideaninterfacetotheservicesmadeavailablebyanoperat', 0.5131), ('findthatthereisnofileofthatnameorthatthefileisprotectedagainstaccess', 0.4814), ('inputfileandcreateandopentheoutputfile', 0.468), ('readandwritemustreturnstatusinformationregardingvariouspossibleerror', 0.4636), ('distinguishbetweenuserprogramsand', 0.4544)]","['provideaninterfacetotheservicesmadeavailablebyanoperat', 'findthatthereisnofileofthatnameorthatthefileisprotectedagainstaccess', 'inputfileandcreateandopentheoutputfile', 'readandwritemustreturnstatusinformationregardingvariouspossibleerror', 'distinguishbetweenuserprogramsand']"
3,2.3.1 Example,92,2.3 System Calls,"[('provideaninterfacetotheservicesmadeavailablebyanoperat', 0.5131), ('findthatthereisnofileofthatnameorthatthefileisprotectedagainstaccess', 0.4814), ('inputfileandcreateandopentheoutputfile', 0.468), ('readandwritemustreturnstatusinformationregardingvariouspossibleerror', 0.4636), ('distinguishbetweenuserprogramsand', 0.4544)]","['provideaninterfacetotheservicesmadeavailablebyanoperat', 'findthatthereisnofileofthatnameorthatthefileisprotectedagainstaccess', 'inputfileandcreateandopentheoutputfile', 'readandwritemustreturnstatusinformationregardingvariouspossibleerror', 'distinguishbetweenuserprogramsand']"
3,2.3.2 Application Programming Interface,93,2.3.1 Example,"[('unixandlinuxforprograms', 0.5414), ('theapispecifiesasetoffunctionsthatareavailabletoanappli', 0.5285), ('callnamesusedthroughoutthistextaregenericexamples', 0.5199), ('onthejavavirtualmachine', 0.4872), ('apiviaalibraryofcode', 0.4871)]","['unixandlinuxforprograms', 'theapispecifiesasetoffunctionsthatareavailabletoanappli', 'callnamesusedthroughoutthistextaregenericexamples', 'onthejavavirtualmachine', 'apiviaalibraryofcode']"
3,2.3.3 Types of System Calls,96,2.3.2 Application Programming Interface,"[('webrieflydiscussthetypesofsystemcallsthat', 0.3898), ('8summarizesthetypesofsystemcallsnormallyprovidedbyan', 0.3611), ('systemcallscanbegroupedroughlyintosixmajorcategories', 0.338), ('unix', 0.2518), ('linux', 0.2342)]",[]
